GeneLabel,Occurrence,Index,Length,Hydro,Hydro_i,MW,pKa1,pKa2,A_Glu,CW,GC
psam,506,0.569316778707642,30,54.1666666666667,3.2,3761.45,2.25566666666667,9.44566666666666,29.57,703,0.9
chli,317,0.597715736040609,348,22.7758620689655,2.40804597701149,44985.76,2.18557471264368,9.46172413793102,334.73,6333.5,0.991379310344828
petb,5390,0.674904265740493,215,38.8023255813954,2.78139534883721,28029.175,2.21909302325581,9.44018604651161,224.94,5224.5,1.11860465116279
petd,5405,0.684500461467467,160,33.965625,2.65625,20360.12,2.2050625,9.52740624999999,163.47,3590.5,1.109375
atpa,5487,0.739880255108681,504,24.0912698412698,2.44444444444444,63893.275,2.21285714285715,9.43299603174604,465.6,9102,1.11309523809524
atpd,217,0.574710399583496,186,27.5,2.50537634408602,24062.08,2.20155913978495,9.35876344086021,179.79,3617,0.801075268817204
atpf,5458,0.707407994923858,180.5,24.8725761772853,2.398891966759,23826.675,2.19648199445983,9.33443213296399,178.325,3346,0.903047091412742
atpg,217,0.410532994923858,158,26.9620253164557,2.4620253164557,20814.62,2.20721518987342,9.40481012658228,156.49,2958,0.936708860759494
atph,5483,0.738519655294534,81.5,37.1656441717791,2.78527607361963,9494.91,2.26226993865031,9.53073619631903,69.62,1590,1.2638036809816
atpi,5476,0.727653939527698,250.5,38.2335329341317,2.75249500998004,32396.52,2.21499001996008,9.46548902195608,259.495000000001,5964.75,1.05588822355289
tsf,166,0.363606267932024,219,21.7853881278539,2.35616438356164,28613.38,2.20474885844749,9.39817351598173,212.55,3841,0.917808219178082
rps2,5438,0.651057529610829,234,24.6965811965812,2.39529914529915,30863.975,2.19784188034188,9.40762820512819,235.51,4571.75,1.01923076923077
rpoc2,5428,0.705916122794295,1376,25.1780523255814,2.42587209302326,181138.859999999,2.18604651162792,9.38708575581403,1389.58,28609,1.1031976744186
rpoc1,5441,0.714902102973169,654.5,25.2016806722689,2.42245989304813,86899.5899999998,2.19176470588235,9.43732620320857,673.79,13898.25,1.05423987776929
rpob,5460,0.727708073939278,1108.5,23.2814614343708,2.3852052322959,145198.875,2.19700947225982,9.42463238610743,1106.02,22248.25,1.05908885881822
rps20,211,0.390298928369994,88,20.6590909090909,2.27272727272727,11827.61,2.19602272727273,9.23784090909092,91.76,1716,0.647727272727273
psad,212,0.403553299492386,141,17.8297872340426,2.24113475177305,18320.35,2.18730496453901,9.39723404255319,139.16,2733.5,0.921985815602837
chlb,513,0.431387478849408,508,25.5807086614173,2.46062992125984,67083.9900000002,2.17785433070867,9.39320866141734,512.08,10279,0.915354330708661
ccsa,5348,0.672989580550361,357.666666666667,38.425908667288,2.72413793103448,47568.6533333334,2.21463187325257,9.3609319664492,382.153333333333,8539,0.837837837837838
rpl34,207,0.359510301582562,42,7.85714285714286,1.85714285714286,5800.72,2.18666666666667,9.13857142857143,44.54,728,0.833333333333333
seca,214,0.379124365482233,893,23.8969764837626,2.37625979843225,120092.62,2.18590145576707,9.36902575587911,921.260000000001,17775.5,0.876819708846585
thig,200,0.35503135264258,275,26.9563636363636,2.51272727272727,34614.17,2.21821818181818,9.44785454545453,257.490000000001,5195,1.05454545454545
psbi,5396,0.663996646951986,37,37.8783783783784,2.7027027027027,4991.69,2.14027027027027,9.37756756756757,41.285,979,0.972972972972973
dnak,217,0.377855329949239,627,17.1435406698565,2.29186602870813,79374.5199999999,2.18703349282297,9.41792663476875,567.46,10425.5,0.987240829346092
groel,217,0.416878172588832,534,23.0037453183521,2.4063670411985,67409.39,2.20930711610487,9.41838951310861,487.63,9174,0.99625468164794
petj,159,0.310974135847232,112,27.7857142857143,2.50892857142857,13958.67,2.209375,9.41401785714286,102.69,2053.5,0.973214285714286
psbv,217,0.416878172588832,165,22.3151515151515,2.36363636363636,21238.87,2.18618181818182,9.42472727272727,159.25,3049.5,0.981818181818182
psbx,210,0.407360406091371,39,40.4358974358974,2.84615384615385,4831.65,2.22230769230769,9.42641025641026,36.84,796.5,0.871794871794872
rpl27,213,0.407245039224735,83,16.5060240963855,2.20481927710843,10576.98,2.1966265060241,9.31084337349398,79.73,1516,0.987951807228916
rpl19,309,0.601581867548105,120,24.55,2.375,16036.52,2.21908333333333,9.33533333333334,124.04,2300,0.866666666666667
petm,186,0.295816558725713,32,46.6875,3,3909.62,2.264375,9.4528125,29.97,692,1.03125
petn,5259,0.648364074986179,29,52.551724137931,3.1551724137931,3691.835,2.27120689655172,9.44344827586207,30.09,783,1.17241379310345
acsf,130,0.243850058570871,349,28.1232091690544,2.44985673352436,48149.84,2.15727793696275,9.35988538681948,384.84,8283.5,0.888252148997135
rpl35,210,0.364467005076142,64,21.53125,2.28125,8535.99,2.2096875,9.23812500000001,66.98,1275.5,0.8125
rpl20,5474,0.669543147208122,115.5,28.9264069264069,2.42857142857143,15918.47,2.20658008658009,9.28645021645022,127.345,2552.75,0.991341991341991
ilvh,164,0.361346117691295,176,27.9147727272727,2.49431818181818,22907.03,2.210625,9.40943181818181,173.82,3427.5,0.943181818181818
rbcl,5461,0.718697123519459,483.5,23.3743536711479,2.41365046535677,62251.1150000001,2.19423991726991,9.44684591520165,468.804999999999,9900,1.22440537745605
rbcs,216,0.392554991539763,138,20.2898550724638,2.31159420289855,18315.1,2.17804347826087,9.42978260869565,139.36,2847,1.01449275362319
psaa,5456,0.721524623742096,751,33.5818908122503,2.66378162450067,96909.4999999999,2.20492676431424,9.43036617842879,768.755,17895,1.15712383488682
psab,5460,0.727010933229207,734,33.6621253405995,2.64782016348774,95513.0749999999,2.20779291553133,9.41901907356952,764.95,17991.25,1.13692098092643
rps14,5506,0.663429706466564,100,17.53,2.18,13760.66,2.19235,9.3372,108.265,2141.25,1.05
petg,5453,0.69367434595861,37,45.7432432432432,2.93243243243243,4729.055,2.23513513513514,9.48878378378379,37.955,893.25,1.06756756756757
psbk,5453,0.702671215777648,53,50.1320754716981,3.0377358490566,6983.765,2.19632075471698,9.50216981132076,59.225,1434.5,1.0188679245283
